hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
78,3.883695706453229,237,0.0008689532004960001,0.202241135091972,0.0029054467420260004,0.16139905149051492,0.10555555555555556
155,5.244489926659613e-05,126,0.003395868952889,0.603652105657949,0.11188740474257401,0.3563177506775068,0.4444444444444444
125,0.033172779961338,183,0.000108141489166,0.33205822617954,0.016662743799897,0.11273954703832753,0.15833333333333333
77,6.573466211768384,81,0.000141734398014,0.12908524487849402,0.003508343843278,0.2971302748741773,0.375
124,0.024807944140628,63,0.011748020174759,0.35554280982451203,0.003187109691163,0.8747314169570266,0.9138888888888889
173,0.0314,149,0.0067,0.7643,0.0057,0.3931958962446767,0.4638888888888889
200,0.0002,10,0.03,0.1,0.999,0.12599448315911732,0.075
200,0.0001,10,0.01,0.1,0.999,0.3299337011227255,0.36944444444444446
96,0.0001,29,0.0061,0.7983,0.7826,0.9102400309717383,0.9277777777777778
106,0.0001,112,0.003,0.1,0.999,0.9450324235385212,0.95
152,0.0001,126,0.003,0.9,0.001,0.2059959349593496,0.3138888888888889
139,0.0003,138,0.0078,0.7623,0.0055,0.553953735965931,0.5972222222222222
127,0.0002,126,0.0067,0.3555,0.0035,0.7286028842431282,0.7055555555555556
200,0.0001,10,0.003,0.1,0.999,0.819773519163763,0.8083333333333333
118,0.0001,141,0.0037,0.1211,0.9964,0.9436362756484709,0.9138888888888889
198,0.0001,215,0.003,0.1,0.999,0.9311193379790941,0.9305555555555556
119,0.0001,189,0.003,0.1,0.999,0.9303982771970578,0.9305555555555556
177,0.0001,174,0.003,0.1,0.999,0.9311507936507937,0.9416666666666667
74,0.0001,10,0.004,0.1,0.999,0.5928644018583044,0.6416666666666667
121,0.0001,186,0.003,0.9,0.001,0.19623741773132017,0.18055555555555555
105,0.0001,57,0.0035,0.3749,0.9687,0.9422280294231513,0.9166666666666666
200,0.0001,84,0.01,0.9,0.999,0.8810273906310491,0.8555555555555555
138,0.0001,10,0.1,0.1,0.999,0.10507646147890051,0.075
200,0.001,239,0.01,0.9,0.998,0.5635428765001936,0.5166666666666667
113,0.0001,81,0.0035,0.1575,0.9987,0.9248790166473093,0.9638888888888889
157,0.0001,128,0.003,0.1,0.999,0.9436144986449865,0.9083333333333333
72,0.0001,195,0.001,0.1,0.999,0.9137243515292296,0.9444444444444444
116,0.0001,229,0.0036,0.1581,0.9986,0.9199622531939605,0.925
163,0.0001,117,0.003,0.5,0.8,0.836461962833914,0.8555555555555555
51,0.0001,181,0.0001,0.9,0.999,0.11621660859465736,0.09444444444444444
