X0,X1,X2,X3,X4,X5,score,generalization_score
200,3.938620672443622,41,0.099120175266208,0.16799104738110301,0.015472833880662002,0.9505928184281842,0.9611111111111111
108,0.10434609979357301,235,0.024279719592336,0.199039332673625,0.037446959101,0.9171820557491289,0.8833333333333333
117,0.00023848621577000003,138,0.045273919917888004,0.27307645938327,0.019584322761279003,0.9018994386372435,0.9222222222222223
191,0.468096526017641,182,0.016256611075126,0.12261807012299801,0.035828819856501,0.9332026713124273,0.9527777777777777
180,0.9438031971786861,209,0.00012365164457100002,0.11390227044541101,0.10263435748586001,0.13503677893921798,0.12777777777777777
155,3.7764,126,0.0859,0.2536,0.01,0.9346012388695314,0.9388888888888889
152,4.014,125,0.02433,0.1575,0.006977,0.934608497870693,0.95
127,0.0001,249,0.0001,0.1,0.001,0.08073703058459156,0.06666666666666667
98,0.0001,10,0.0001,0.1,0.001,0.7042489353464964,0.7333333333333333
56,2.274,103,0.0382,0.4821,0.1486,0.6200421022067364,0.5638888888888889
161,3.9386,41,0.0991,0.168,0.0155,0.9526785714285715,0.9472222222222222
157,3.13,122,0.018,0.5663,0.7865,0.801025938830817,0.8694444444444445
112,0.0001,250,0.0001,0.1,0.001,0.06473577235772357,0.06944444444444445
167,3.9386,41,0.0991,0.168,0.0155,0.9457220286488578,0.9638888888888889
179,0.6446,10,0.0001,0.1,0.001,0.7334760936895084,0.7527777777777778
147,0.9788,209,0.0346,0.2213,0.2484,0.9053765001935734,0.9222222222222223
171,3.9386,41,0.0991,0.168,0.0155,0.9631266937669377,0.95
164,3.9386,41,0.0991,0.168,0.0155,0.9471181765389083,0.9472222222222222
160,4.0,41,0.0991,0.168,0.0155,0.956160472319009,0.9444444444444444
117,0.13218657672405243,135,0.057251110672950745,0.5498386025428772,0.8399174809455872,0.5393171699574139,0.6166666666666667
162,3.9386,41,0.0991,0.168,0.0155,0.9519889663182346,0.9583333333333334
144,3.4025862216949463,178,0.01830744743347168,0.5394671559333801,0.9442787766456604,0.8322928765001937,0.8611111111111112
153,3.9386,41,0.0991,0.168,0.0155,0.9547667440960124,0.9583333333333334
154,3.9386,41,0.0991,0.168,0.0155,0.9540674603174603,0.9638888888888889
165,1.199277639389038,37,0.07135123759508133,0.891751766204834,0.6352435350418091,0.14618418505613626,0.45555555555555555
168,3.9562,41,0.0991,0.168,0.0155,0.9429490902051876,0.9583333333333334
156,3.9365,41,0.0991,0.168,0.0155,0.9408560782036393,0.9444444444444444
174,4.0,41,0.0991,0.168,0.0155,0.9533875338753388,0.9555555555555556
169,4.0,41,0.0991,0.168,0.0155,0.9554684475416181,0.9638888888888889
157,1.5436904430389404,41,0.0963127613067627,0.84562087059021,0.7927883267402649,0.1920005807200929,0.1
