X0,X1,X2,X3,X4,X5,score,generalization_score
7,0.27384505982301605,5.7187408672443325e-05,0.032434060996912005,0.019627781772875,0.01432419850735,0.958128078817734,0.9722222222222222
4,0.048934273926388,0.19838373711533402,0.081415282032941,0.068637163305826,0.143931321718827,0.7179802955665024,0.8888888888888888
4,0.56546022421217,0.013693796598963002,0.13590065737339302,0.06804373593266101,0.087962053186335,0.9298029556650247,0.8888888888888888
3,0.024850681527716002,0.40037228433776806,0.43306383724353503,0.042216314909836,0.147965672086171,0.38743842364532016,0.4444444444444444
13,0.609970094480184,0.042522105684888005,0.011641534821384001,0.02182325676209,0.304953075049531,0.9295566502463055,0.8333333333333334
15,0.9899,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
11,0.495,0.5,0.01,0.99,0.49,0.38743842364532016,0.4444444444444444
6,0.3237,0.0002,0.0225,0.0149,0.0115,0.9583743842364532,0.9444444444444444
8,0.3333,0.0001,0.0224,0.0148,0.0116,0.9583743842364532,0.9444444444444444
9,0.3349,0.0001,0.0224,0.0148,0.0116,0.9583743842364532,0.9444444444444444
10,0.3392,0.0001,0.0224,0.0148,0.0116,0.9583743842364532,0.9444444444444444
5,0.7423,0.2134,0.1123,0.1682,0.2354,0.9012315270935961,0.8333333333333334
14,0.9876,0.0002,0.4899,0.9899,0.4899,0.38743842364532016,0.4444444444444444
11,0.4951,0.4999,0.0101,0.9899,0.4899,0.38743842364532016,0.4444444444444444
8,0.335,0.0001,0.0224,0.0148,0.0116,0.9583743842364532,0.9444444444444444
5,0.7573,0.2046,0.1294,0.1592,0.1721,0.9012315270935961,0.8333333333333334
15,0.99,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
8,0.3372,0.0002,0.0225,0.0149,0.0115,0.9583743842364532,0.9444444444444444
12,0.451,0.049,0.136,0.69,0.3,0.38743842364532016,0.4444444444444444
7,0.3348,0.0101,0.049,0.4498,0.2499,0.9366995073891626,0.9444444444444444
2,0.0977,0.0031,0.0102,0.0496,0.2901,0.8522167487684728,0.9722222222222222
10,0.3388,0.0001,0.0224,0.0148,0.0115,0.9583743842364532,0.9444444444444444
7,0.3347,0.0101,0.049,0.4498,0.2499,0.9366995073891626,0.9444444444444444
11,0.495,0.01,0.049,0.45,0.25,0.9433497536945813,0.8055555555555556
9,0.3377,0.01,0.049,0.4499,0.2499,0.9366995073891626,0.9444444444444444
9,0.3376,0.01,0.049,0.45,0.25,0.9366995073891626,0.9444444444444444
6,0.3281,0.0002,0.0225,0.0149,0.0115,0.9583743842364532,0.9444444444444444
11,0.495,0.01,0.049,0.49,0.25,0.9226600985221676,0.8055555555555556
11,0.4782,0.0376,0.0332,0.0354,0.0327,0.9509852216748769,0.8888888888888888
12,0.4975,0.01,0.049,0.45,0.25,0.9433497536945813,0.8055555555555556
