max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,0.10577574525745259,0.08055555555555556
4,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.10577574525745259,0.08055555555555556
3,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,0.10577574525745259,0.08055555555555556
13,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,0.10577574525745259,0.08055555555555556
3,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.10577574525745259,0.08055555555555556
11,0.7041635513305664,0.44156673550605774,0.3437127470970154,0.41656407713890076,0.3157768249511719,0.10577574525745259,0.08055555555555556
15,0.9900000095367432,0.5,0.49000000953674316,0.9900000095367432,0.49000000953674316,0.10577574525745259,0.08055555555555556
9,0.35547682642936707,0.14568708837032318,0.49000000953674316,0.7729295492172241,0.4403645396232605,0.10577574525745259,0.08055555555555556
1,0.14880502223968506,0.0466785654425621,0.4456039071083069,0.23296555876731873,0.30436134338378906,0.10577574525745259,0.08055555555555556
6,0.05851362645626068,0.09335184097290039,0.4018396735191345,0.9751154780387878,0.1724579781293869,0.10577574525745259,0.08055555555555556
5,0.9215417504310608,0.20942792296409607,0.17407149076461792,0.679238498210907,0.361917644739151,0.10577574525745259,0.08055555555555556
8,0.9350798726081848,0.1922018975019455,0.42708620429039,0.9890989065170288,0.2863755226135254,0.10577574525745259,0.08055555555555556
3,0.1342504918575287,0.10753465443849564,0.10877109318971634,0.26759570837020874,0.05732325091958046,0.10577574525745259,0.08055555555555556
14,0.9794617295265198,0.45550093054771423,0.1715102195739746,0.32967767119407654,0.2097281515598297,0.10577574525745259,0.08055555555555556
12,0.8660433292388916,0.4628029763698578,0.07086077332496643,0.9425095915794373,0.1541045606136322,0.10577574525745259,0.08055555555555556
2,0.971883237361908,0.362669974565506,0.3000343441963196,0.5657026767730713,0.4758398234844208,0.10577574525745259,0.08055555555555556
10,0.0818273052573204,0.047884054481983185,0.12827008962631226,0.7923612594604492,0.3526979982852936,0.10577574525745259,0.08055555555555556
7,0.9531026482582092,0.11867612600326538,0.25846603512763977,0.8634671568870544,0.2892564535140991,0.10577574525745259,0.08055555555555556
15,0.06676752120256424,0.33566969633102417,0.06766179203987122,0.797482430934906,0.3444359302520752,0.10577574525745259,0.08055555555555556
13,0.939934253692627,0.08051016181707382,0.4130437672138214,0.14886996150016785,0.4893915057182312,0.10577574525745259,0.08055555555555556
6,0.9535233974456787,0.46500399708747864,0.44282156229019165,0.2665505111217499,0.36359474062919617,0.10577574525745259,0.08055555555555556
14,0.0293582733720541,0.3766888380050659,0.10323631018400192,0.7362942099571228,0.41669586300849915,0.10577574525745259,0.08055555555555556
7,0.36441606283187866,0.07282310724258423,0.07437513768672943,0.3704332113265991,0.38437020778656006,0.10577574525745259,0.08055555555555556
12,0.08101661503314972,0.17351758480072021,0.42677536606788635,0.32870760560035706,0.3257023096084595,0.10577574525745259,0.08055555555555556
8,0.10560965538024902,0.15548619627952576,0.16070899367332458,0.6619312763214111,0.3302359879016876,0.10577574525745259,0.08055555555555556
10,0.9659997224807739,0.03389199823141098,0.33642473816871643,0.6822922825813293,0.4555227756500244,0.10577574525745259,0.08055555555555556
4,0.8529956936836243,0.4343079626560211,0.01970585435628891,0.8333961367607117,0.47830653190612793,0.10577574525745259,0.08055555555555556
9,0.7891892790794373,0.18252816796302795,0.20283104479312897,0.05095386877655983,0.11779128760099411,0.10577574525745259,0.08055555555555556
2,0.020556658506393433,0.31711357831954956,0.4264611601829529,0.6786203980445862,0.4621095061302185,0.10577574525745259,0.08055555555555556
1,0.6870613098144531,0.19956448674201965,0.017781317234039307,0.9579171538352966,0.48583948612213135,0.10577574525745259,0.08055555555555556
