feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
15,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,0.10577574525745259,0.08055555555555556
15,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,0.10577574525745259,0.08055555555555556
13,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,0.10577574525745259,0.08055555555555556
2,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,0.10577574525745259,0.08055555555555556
3,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,0.10577574525745259,0.08055555555555556
4,0.0101,0.4998,0.0101,0.0101,0.0101,0.10577574525745259,0.08055555555555556
6,0.2307,0.1073,0.0834,0.1407,0.1062,0.10577574525745259,0.08055555555555556
4,0.1001,0.4999,0.0101,0.0101,0.0101,0.10577574525745259,0.08055555555555556
8,0.2523,0.1234,0.1067,0.1408,0.1063,0.10577574525745259,0.08055555555555556
10,0.1068,0.0134,0.1068,0.1068,0.1068,0.7216269841269841,0.6611111111111111
11,0.7832,0.01,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
11,0.7831,0.0101,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
6,0.7832,0.0101,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
8,0.1832,0.29,0.3556,0.2087,0.2422,0.10577574525745259,0.08055555555555556
10,0.11,0.495,0.125,0.975,0.49,0.10577574525745259,0.08055555555555556
10,0.7832,0.01,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
15,0.1234,0.1068,0.1068,0.1068,0.1068,0.10577574525745259,0.08055555555555556
15,0.1235,0.1067,0.1067,0.1067,0.1067,0.10577574525745259,0.08055555555555556
13,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
11,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
6,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
8,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
1,0.99,0.0001,0.01,0.01,0.49,0.4398132017034456,0.3888888888888889
10,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
5,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
1,0.99,0.5,0.49,0.99,0.49,0.10577574525745259,0.08055555555555556
10,0.783,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
15,0.7831,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
9,0.7832,0.0101,0.49,0.0101,0.49,0.10577574525745259,0.08055555555555556
15,0.7832,0.01,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
