X0,X1,score,generalization_score
91,0.0007302585582140001,0.9088669950738917,0.9166666666666666
87,0.110962953351353,0.9150246305418719,0.9722222222222222
64,0.000509707317029,0.8945812807881774,0.9166666666666666
30,0.31052829556572503,0.9507389162561577,0.9722222222222222
91,0.146155620802551,0.8935960591133005,0.9166666666666666
30,0.31049999999999994,0.9507389162561577,0.9722222222222222
42,0.4978,0.9435960591133006,1.0
35,0.7845,0.9369458128078817,0.9444444444444444
33,0.9564,0.9576354679802955,0.9722222222222222
47,0.964,0.9714285714285715,1.0
47,0.9642,0.9714285714285715,1.0
53,0.9792,0.9433497536945813,1.0
47,0.9641,0.9645320197044336,1.0
47,0.9643,0.9785714285714286,1.0
47,0.9644,0.9716748768472907,1.0
47,0.9645,0.9785714285714286,1.0
47,0.9646,0.9578817733990148,1.0
47,0.9649,0.9647783251231526,1.0
49,0.9871,0.9224137931034482,1.0
46,0.987,0.9224137931034482,1.0
47,0.9647,0.9509852216748769,1.0
49,0.9872,0.9152709359605911,1.0
47,0.9648,0.9578817733990148,1.0
53,0.9791,0.9576354679802955,0.9722222222222222
47,0.96448,0.9785714285714286,1.0
47,0.9644,0.9716748768472907,1.0
47,0.9643,0.9785714285714286,1.0
51,0.9649,0.9647783251231526,1.0
70,0.987,0.9224137931034482,0.9722222222222222
59,0.9871,0.9224137931034482,1.0
