X0,X1,X2,X3,X4,X5,score,generalization_score
7,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,0.430295566502463,0.4444444444444444
4,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.916256157635468,0.9722222222222222
3,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,0.6768472906403941,0.8888888888888888
13,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,0.5768472906403941,0.4444444444444444
3,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.930049261083744,0.9444444444444444
3,0.1538,0.1145,0.0113,0.0362,0.039,0.9014778325123153,0.9444444444444444
1,0.99,0.5,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
3,0.01,0.0,0.49,0.01,0.49,0.38743842364532016,0.4444444444444444
4,0.2043,0.0413,0.01,0.01,0.01,0.958128078817734,1.0
4,0.34622249007225037,0.0,0.009999999776482582,0.15817108750343323,0.027713919058442116,0.951231527093596,0.9722222222222222
3,0.2875211238861084,0.08414453268051147,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.9371921182266011,0.9444444444444444
13,0.9900000095367432,0.5,0.49000000953674316,0.9900000095367432,0.40653589367866516,0.38743842364532016,0.4444444444444444
10,0.3177206218242645,0.42098045349121094,0.13167066872119904,0.4091532826423645,0.2685128450393677,0.38743842364532016,0.4444444444444444
9,0.9900000095367432,0.0,0.49000000953674316,0.009999999776482582,0.49000000953674316,0.38743842364532016,0.4444444444444444
11,0.009999999776482582,0.5,0.49000000953674316,0.9900000095367432,0.009999999776482582,0.38743842364532016,0.4444444444444444
4,0.30870285630226135,0.0,0.009999999776482582,0.009999999776482582,0.12501032650470734,0.9790640394088669,0.9444444444444444
3,0.0734,0.0,0.0476,0.1906,0.0649,0.9435960591133006,0.9444444444444444
3,0.1785,0.1275,0.0195,0.1605,0.071,0.930049261083744,0.9722222222222222
4,0.1244,0.0,0.01,0.01,0.125,0.9298029556650247,0.9444444444444444
4,0.3087,0.0,0.01,0.01,0.125,0.9790640394088669,0.9444444444444444
5,0.3234,0.0315,0.01,0.0114,0.0737,0.9650246305418719,0.9722222222222222
5,0.3587,0.0,0.01,0.01,0.1225,0.9790640394088669,0.9722222222222222
4,0.3444,0.0,0.01,0.01,0.1329,0.9790640394088669,0.9444444444444444
4,0.2857,0.0,0.01,0.01,0.125,0.9440886699507389,0.9444444444444444
6,0.3278,0.0729,0.01,0.01,0.1047,0.9650246305418719,0.9444444444444444
6,0.2452,0.0,0.01,0.01,0.01,0.9578817733990148,0.9444444444444444
4,0.125,0.0,0.01,0.01,0.125,0.9298029556650247,0.9444444444444444
4,0.31,0.0,0.01,0.01,0.1234,0.9790640394088669,0.9444444444444444
4,0.4943564832210541,0.0,0.09599487483501434,0.009999999776482582,0.05859435349702835,0.9509852216748769,0.8333333333333334
6,0.20212973654270172,0.0,0.009999999776482582,0.009999999776482582,0.21431799232959747,0.9305418719211822,0.9444444444444444
