max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
4,0.546592961897562,0.103359577669713,0.35697068750257405,0.09433884564366,0.108135197817863,0.38743842364532016,0.4444444444444444
12,0.10828621707356301,0.14840025078811,0.020762788728338002,0.014492059805531001,0.17705528468959603,0.7810344827586208,0.9722222222222222
7,0.02069801720722,0.43996851560063904,0.029057608200945002,0.067090647436348,0.031654331170913,0.38743842364532016,0.4444444444444444
10,0.14359679313770002,0.299964598312493,0.028137559764443,0.036993818613308006,0.026829574885999,0.38743842364532016,0.4444444444444444
6,0.019395427309827,0.082806430600633,0.42582543785160304,0.8246358814026,0.020818896796521002,0.38743842364532016,0.4444444444444444
15,0.9899,0.0,0.0101,0.0101,0.0101,0.9298029556650247,0.9166666666666666
7,0.4917,0.0011,0.0101,0.0101,0.0101,0.972167487684729,0.9444444444444444
8,0.4899,0.0002,0.0101,0.011,0.01,0.972167487684729,0.9444444444444444
11,0.3669,0.0903,0.0211,0.0211,0.0211,0.9721674876847292,0.9444444444444444
8,0.3402,0.1,0.0101,0.0101,0.0101,0.9721674876847292,0.9444444444444444
10,0.4,0.01,0.01,0.01,0.01,0.9790640394088671,0.9722222222222222
13,0.9875,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
9,0.2945,0.0065,0.01,0.01,0.01,0.9578817733990148,0.9722222222222222
11,0.5,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
10,0.3123,0.0451,0.0101,0.0101,0.0101,0.9650246305418719,0.9166666666666666
10,0.4321,0.0,0.0101,0.0101,0.0101,0.972167487684729,0.9722222222222222
12,0.51,0.0,0.0101,0.0101,0.01,0.972167487684729,0.9444444444444444
9,0.4821,0.1213,0.0317,0.0726,0.0403,0.9369458128078818,0.8333333333333334
12,0.4841,0.0001,0.011,0.01,0.011,0.972167487684729,0.9444444444444444
9,0.4794,0.0,0.0101,0.0101,0.01,0.972167487684729,0.9444444444444444
10,0.9899,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
15,0.9899,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
12,0.9887,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
12,0.5291,0.0215,0.0132,0.0274,0.0217,0.958128078817734,0.8055555555555556
10,0.4625,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
13,0.9814,0.0,0.0101,0.0101,0.01,0.9298029556650247,0.9166666666666666
10,0.99,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
14,0.98,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
12,0.4769,0.0001,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
14,0.9734,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
