feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
9,0.258943323491781,0.14545236945647202,0.07301276842154,0.6053358137165971,0.32727366913738304,0.8943349753694582,0.9166666666666666
3,0.025916788312907002,0.025733601650414002,0.055597475198167004,0.011471547768812,0.059174926217381005,0.930295566502463,0.9166666666666666
10,0.035954977598076004,0.338127450990065,0.099695146946049,0.011165009283219,0.088018302545044,0.38743842364532016,0.4444444444444444
5,0.06735821318219401,0.141762540885659,0.148435914494946,0.075680665183566,0.018413537756286,0.845320197044335,0.9722222222222222
9,0.360764343380227,0.153181766188089,0.023722057013521,0.059463312150988004,0.38253570233160905,0.9160098522167488,0.9166666666666666
14,0.989,0.5,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
4,0.0419,0.0101,0.0101,0.99,0.0101,0.38743842364532016,0.4444444444444444
2,0.989,0.01,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
12,0.9845,0.0001,0.49,0.99,0.01,0.38743842364532016,0.4444444444444444
6,0.989,0.01,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
12,0.9845,0.0002,0.4895,0.9897,0.4893,0.38743842364532016,0.4444444444444444
8,0.1279,0.2174,0.1122,0.4885,0.1123,0.5985221674876847,0.8888888888888888
7,0.0315,0.4502,0.0182,0.0111,0.0123,0.38743842364532016,0.4444444444444444
15,0.4072,0.3054,0.1109,0.7056,0.2402,0.38743842364532016,0.4444444444444444
11,0.0673,0.1417,0.1483,0.0756,0.0183,0.845320197044335,0.9722222222222222
7,0.2223,0.1262,0.0344,0.9234,0.0388,0.38743842364532016,0.4444444444444444
6,0.9766,0.1133,0.1766,0.0877,0.052,0.9083743842364532,0.8333333333333334
3,0.99,0.01,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
9,0.2429,0.1017,0.0226,0.2224,0.1902,0.9302955665024631,0.9166666666666666
5,0.99,0.01,0.49,0.49,0.49,0.38743842364532016,0.4444444444444444
8,0.2895,0.1503,0.0698,0.6225,0.3178,0.8943349753694582,0.9166666666666666
9,0.3609,0.1533,0.0237,0.0596,0.3826,0.9160098522167488,0.9166666666666666
8,0.3465,0.1234,0.0334,0.0812,0.3832,0.9160098522167488,0.9444444444444444
9,0.3002,0.1001,0.0102,0.9801,0.45,0.38743842364532016,0.4444444444444444
8,0.3464,0.1233,0.0333,0.0811,0.3831,0.9160098522167488,0.9444444444444444
7,0.366,0.146,0.038,0.074,0.03,0.9366995073891626,0.9444444444444444
11,0.0998,0.3479,0.1665,0.0113,0.1021,0.38743842364532016,0.4444444444444444
1,0.99,0.0,0.49,0.01,0.49,0.38743842364532016,0.4444444444444444
7,0.3176,0.15,0.035,0.081,0.3831,0.9160098522167488,0.9166666666666666
7,0.3659,0.146,0.038,0.0739,0.03,0.9366995073891626,0.9444444444444444
