feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
15,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,0.38743842364532016,0.4444444444444444
15,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,0.8736453201970443,0.9722222222222222
13,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,0.9224137931034482,0.8333333333333334
2,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,0.38743842364532016,0.4444444444444444
3,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,0.38743842364532016,0.4444444444444444
4,0.99,0.0001,0.01,0.9899,0.4899,0.38743842364532016,0.4444444444444444
8,0.9759,0.5,0.01,0.9899,0.01,0.38743842364532016,0.4444444444444444
10,0.9759,0.4999,0.0101,0.9899,0.0101,0.38743842364532016,0.4444444444444444
12,0.9758,0.5,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
15,0.9821,0.475,0.0704,0.7657,0.0297,0.38743842364532016,0.4444444444444444
10,0.9746,0.4995,0.0156,0.9892,0.032,0.38743842364532016,0.4444444444444444
15,0.9899,0.0001,0.01,0.9899,0.4899,0.38743842364532016,0.4444444444444444
5,0.6598,0.184,0.2117,0.7996,0.1176,0.38743842364532016,0.4444444444444444
11,0.9749,0.4951,0.0453,0.9749,0.0453,0.38743842364532016,0.4444444444444444
13,0.9759,0.5,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
15,0.9759,0.49,0.0401,0.9899,0.0101,0.38743842364532016,0.4444444444444444
13,0.9759,0.4999,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
6,0.9759,0.5,0.49,0.01,0.49,0.38743842364532016,0.4444444444444444
15,0.9759,0.4999,0.04,0.9899,0.01,0.38743842364532016,0.4444444444444444
15,0.9759,0.4999,0.0499,0.9759,0.0499,0.38743842364532016,0.4444444444444444
15,0.9759,0.5,0.0434,0.9759,0.01,0.38743842364532016,0.4444444444444444
14,0.9759,0.5,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
15,0.9759,0.5,0.01,0.9759,0.01,0.38743842364532016,0.4444444444444444
15,0.9759,0.5,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
13,0.9759,0.5,0.01,0.9899,0.01,0.38743842364532016,0.4444444444444444
11,0.9758,0.5,0.0499,0.9759,0.4899,0.38743842364532016,0.4444444444444444
7,0.9758,0.4999,0.01,0.9899,0.01,0.38743842364532016,0.4444444444444444
12,0.9749,0.4999,0.0499,0.9749,0.045,0.38743842364532016,0.4444444444444444
11,0.9758,0.4999,0.01,0.9899,0.01,0.38743842364532016,0.4444444444444444
14,0.9759,0.4999,0.0499,0.9759,0.045,0.38743842364532016,0.4444444444444444
