feat_0,feat_1,score,generalization_score
91,0.0007302585582140001,0.5239764808362369,0.475
87,0.110962953351353,0.6618321718931475,0.6888888888888889
64,0.000509707317029,0.329084397986837,0.26666666666666666
30,0.31052829556572503,0.6624975803329461,0.6527777777777778
91,0.146155620802551,0.6771341463414634,0.6694444444444444
97,0.8914,0.39597609368950837,0.31666666666666665
94,0.2689,0.7042755516840882,0.625
67,0.3876,0.6681015292295781,0.6166666666666667
87,0.6743,0.6381339527680991,0.5888888888888889
85,0.7401,0.588770325203252,0.55
77,0.2002,0.6611183701122725,0.6416666666666667
93,0.6413,0.6207534843205575,0.5888888888888889
80,0.1197,0.6569275067750677,0.7277777777777777
59,0.3333,0.6159141502129307,0.6388888888888888
86,0.269,0.6959301200154858,0.6555555555555556
95,0.2143,0.682701800232288,0.6611111111111111
97,0.5567,0.7321501161440186,0.6027777777777777
96,0.6234,0.6555555555555556,0.5694444444444444
100,0.1937,0.6757573557878436,0.6722222222222223
90,0.4569,0.6910544909020518,0.6527777777777778
92,0.5578,0.7231005613627565,0.5861111111111111
88,0.7724,0.6200880758807588,0.5055555555555555
92,0.7724,0.622858594657375,0.5555555555555556
86,0.7723,0.6291327913279132,0.5027777777777778
94,0.7724,0.6186919279907086,0.5694444444444444
97,0.7724,0.621486643437863,0.6027777777777777
93,0.6543,0.6228416569879984,0.6277777777777778
84,0.7724,0.6235651374370886,0.49722222222222223
85,0.8909,0.3869168602400309,0.31666666666666665
99,0.0002,0.24284988385598139,0.15555555555555556
