feat_0,feat_1,score,generalization_score
27,4.546784063337942,0.3953034262485482,0.34444444444444444
95,0.02653050299604,0.6708381726674408,0.6916666666666667
39,0.0005917433219460001,0.24354432830042586,0.15555555555555556
73,0.000397880553092,0.2845722028648858,0.26666666666666666
54,0.145776880681752,0.6617886178861789,0.6416666666666667
99,0.0002,0.24284988385598139,0.15555555555555556
85,0.7653,0.6298127177700349,0.5138888888888888
68,0.9978,0.2860143244289586,0.24166666666666667
96,0.265,0.6966898954703833,0.6416666666666667
61,0.7421,0.5922377080913666,0.5027777777777778
49,0.742,0.5755347464188927,0.42777777777777776
55,0.7421,0.5824840301974448,0.5194444444444445
84,0.742,0.5838971157568719,0.5055555555555555
94,0.7421,0.5832026713124274,0.55
95,0.742,0.5755323267518391,0.5277777777777778
88,0.742,0.5783149438637244,0.5416666666666666
85,0.7421,0.5866797328687572,0.55
65,0.7421,0.5978126209833527,0.5027777777777778
77,0.7421,0.5880565234223771,0.5111111111111111
85,0.742,0.5866797328687572,0.55
97,0.742,0.5845746225319396,0.49166666666666664
98,0.7421,0.576918795973674,0.49722222222222223
97,0.7421,0.5845746225319396,0.49166666666666664
88,0.7421,0.5783149438637244,0.5416666666666666
94,0.742,0.5832026713124274,0.55
85,0.7422,0.5866797328687572,0.55
70,0.742,0.5943355594270229,0.5
68,0.7421,0.5852787456445994,0.5027777777777778
79,0.742,0.588058943089431,0.5027777777777778
99,0.742,0.5776229190863338,0.49166666666666664
