feat_0,feat_1,score,generalization_score
16,1.583963679227197,0.29648906310491674,0.26666666666666666
21,0.07023549332126301,0.6548586914440573,0.6944444444444444
49,0.000124090931101,0.20876403406891214,0.15555555555555556
14,0.001735567408628,0.24354432830042586,0.15555555555555556
18,0.29793276259370205,0.6451316298877274,0.6388888888888888
91,3.8712,0.625648470770422,0.5388888888888889
75,7.6937,0.34511227255129695,0.4638888888888889
90,0.1,0.6541763453348819,0.7055555555555556
79,4.9243,0.5003581107239643,0.525
94,0.4365,0.667414343786295,0.7166666666666667
30,0.0002,0.20876403406891214,0.15555555555555556
85,0.6213,0.6590205187766165,0.55
99,1.23,0.2818476577622919,0.24444444444444444
86,0.0002,0.20876403406891214,0.15555555555555556
25,0.4268,0.6548901471157569,0.6388888888888888
92,0.9999,0.2894986449864499,0.24166666666666667
13,0.7132,0.5372072202864885,0.4583333333333333
10,0.1001,0.581107239643825,0.55
65,0.7133,0.6088971157568718,0.5611111111111111
69,3.8711,0.572730352303523,0.5277777777777778
24,0.7132,0.5365345528455284,0.5166666666666667
84,0.7132,0.617958768873403,0.5388888888888889
22,0.7131,0.53306475029036,0.5138888888888888
97,0.9998,0.2894986449864499,0.24166666666666667
95,0.7133,0.5928716608594657,0.5166666666666667
85,0.7132,0.6019429926442121,0.5388888888888889
44,0.7132,0.5832171893147503,0.5083333333333333
100,0.7132,0.604006968641115,0.5027777777777778
78,0.7131,0.617958768873403,0.5444444444444444
89,2.3456,0.7557079945799459,0.7194444444444444
