feat_0,feat_1,score,generalization_score
100,4.60030680449031,0.5964576074332173,0.5638888888888889
22,9.890143127152722,0.24640921409214092,0.3138888888888889
31,0.009613989345165,0.6075179055361982,0.6305555555555555
45,0.22321849928717602,0.6444420247773907,0.5805555555555556
94,1.704333511590947,0.43985191637630655,0.6944444444444444
53,0.0002,0.20876403406891214,0.15555555555555556
29,0.0003,0.20876403406891214,0.15555555555555556
67,0.4997,0.6291158536585366,0.6583333333333333
53,0.3085,0.6402318041037554,0.6138888888888889
55,0.9999,0.2894986449864499,0.24166666666666667
31,0.9998,0.2894986449864499,0.24166666666666667
77,0.0406,0.6520421989934185,0.6333333333333333
43,0.1999,0.6673562717770035,0.6277777777777778
29,0.7112,0.5574090205187766,0.48333333333333334
79,0.7132,0.6089285714285715,0.5333333333333333
72,0.999,0.2894986449864499,0.24166666666666667
44,0.1998,0.6624806426635695,0.6166666666666667
49,0.1727,0.6443960511033682,0.6638888888888889
34,0.7132,0.5678547231900891,0.5055555555555555
56,0.7132,0.593607239643825,0.5555555555555556
46,0.7131,0.5901471157568718,0.5027777777777778
72,0.1999,0.6792102206736353,0.6333333333333333
61,0.6193,0.64375,0.6055555555555555
81,0.199,0.6653261711188541,0.6527777777777778
59,0.2132,0.6729263453348819,0.6722222222222223
67,0.1999,0.6750435540069686,0.6472222222222223
70,0.0005,0.3304805458768874,0.3333333333333333
77,0.1999,0.6694807394502515,0.6416666666666667
48,0.0047,0.6054418312040263,0.5472222222222223
90,0.1999,0.6785036778939217,0.6527777777777778
