n_estimators,learning_rate,score,generalization_score
16,1.583963679227197,0.29648906310491674,0.26666666666666666
21,0.07023549332126301,0.6548586914440573,0.6944444444444444
49,0.000124090931101,0.20876403406891214,0.15555555555555556
14,0.001735567408628,0.24354432830042586,0.15555555555555556
18,0.29793276259370205,0.6451316298877274,0.6388888888888888
18,0.36503109335899353,0.6144962253193961,0.675
18,0.0514775849878788,0.6680797522260937,0.6638888888888889
21,3.3820481300354004,0.3430047425474255,0.22777777777777777
18,0.10147424042224884,0.6131194347657762,0.6166666666666667
18,0.09105673432350159,0.6242547425474255,0.625
18,9.999999747378752e-05,0.20876403406891214,0.15555555555555556
21,9.999999747378752e-05,0.20876403406891214,0.15555555555555556
18,0.30530354380607605,0.6457849399922571,0.6222222222222222
24,1.0036356449127197,0.2894986449864499,0.24166666666666667
18,0.2932923138141632,0.631184668989547,0.6055555555555555
19,2.0035347938537598,0.3312427409988386,0.3194444444444444
54,3.087538719177246,0.5873209446380178,0.49166666666666664
18,0.2900433838367462,0.6464551877661634,0.6055555555555555
18,0.06651107966899872,0.6514203445605884,0.6444444444444445
18,0.06658276915550232,0.6479481223383663,0.6444444444444445
55,2.2701125144958496,0.6513913085559426,0.6833333333333333
54,3.5115699768066406,0.5714092140921408,0.5638888888888889
52,1.5874712467193604,0.3124951606658924,0.26666666666666666
19,0.760559618473053,0.521953639179249,0.40555555555555556
50,3.0889229774475098,0.5490877855207124,0.49166666666666664
54,3.0478639602661133,0.5727134146341464,0.5666666666666667
19,0.8408536314964294,0.4203808555942702,0.3111111111111111
57,2.7372937202453613,0.5588196864111498,0.5138888888888888
55,2.233630657196045,0.6583139759969028,0.5972222222222222
52,2.9654412269592285,0.5985070654277972,0.5138888888888888
