X0,X1,X2,X3,X4,X5,score,generalization_score
61,1.095706562156234,39,0.001893412804339,0.261254081864405,0.0011382453367170002,0.330295566502463,0.16666666666666666
56,0.00030713533483000004,32,0.006015816920825001,0.137631667310846,0.022872834873117,0.38743842364532016,0.4444444444444444
82,0.00132871069682,128,0.04499930257575,0.538002241604574,0.8327636100005461,0.38743842364532016,0.3888888888888889
110,0.02073154660543,84,0.002220648782651,0.182953386555359,0.02310073334057,0.605665024630542,0.4444444444444444
164,0.8043116425855961,72,0.037347404133724005,0.48478462306302506,0.001153013936524,0.3169950738916256,0.3888888888888889
110,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.6339901477832512,0.4444444444444444
145,0.3486,175,0.06909999999999998,0.6141,0.4659,0.3169950738916256,0.3888888888888889
111,0.020199999999999996,85,0.002499999999999999,0.1849,0.0241,0.444088669950739,0.5555555555555556
139,0.029899999999999993,196,0.09869999999999997,0.6639,0.9989,0.3445812807881773,0.16666666666666666
108,0.020600000000000004,84,0.0021999999999999997,0.183,0.0231,0.44384236453201964,0.3333333333333333
100,0.001,50,0.1,0.1,0.999,0.38743842364532016,0.4444444444444444
111,0.020600000000000004,84,0.0021999999999999997,0.183,0.023,0.5497536945812808,0.6666666666666666
111,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.5140394088669951,0.6388888888888888
109,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.5554187192118226,0.75
136,0.029899999999999993,193,0.09869999999999997,0.6639,0.9989,0.29556650246305416,0.3888888888888889
106,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.5844827586206897,0.4444444444444444
102,0.020500000000000004,84,0.002300000000000001,0.1831,0.0232,0.4428571428571429,0.3611111111111111
107,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.3312807881773399,0.3888888888888889
111,0.020600000000000004,84,0.0021999999999999997,0.183,0.0231,0.5140394088669951,0.6388888888888888
117,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.5844827586206897,0.75
113,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.4374384236453202,0.6944444444444444
124,0.020700000000000003,105,0.0021999999999999997,0.183,0.0231,0.5140394088669951,0.5
116,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.5054187192118227,0.6944444444444444
112,0.020600000000000004,84,0.0021999999999999997,0.183,0.0231,0.29556650246305416,0.16666666666666666
105,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.46330049261083744,0.6666666666666666
131,0.021299999999999996,85,0.0023999999999999994,0.1835,0.0226,0.35172413793103446,0.4444444444444444
102,0.020600000000000004,84,0.0021999999999999997,0.183,0.0231,0.387192118226601,0.4166666666666667
109,0.020600000000000004,84,0.0021999999999999997,0.183,0.0231,0.5554187192118226,0.75
120,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.3310344827586207,0.3888888888888889
112,0.020700000000000003,84,0.0021999999999999997,0.183,0.0231,0.29556650246305416,0.16666666666666666
