C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,0.7679802955665025,0.8888888888888888
43.11710058685489,0.000265249637675,0.003833332156156,0.7960591133004926,0.8888888888888888
20.547625125911335,0.000779422611516,0.071556821617548,0.7682266009852217,0.8611111111111112
14.135935551752295,0.000619049016677,0.001304907355036,0.7751231527093596,0.8611111111111112
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.7751231527093596,0.8611111111111112
372.0,0.0006,0.03023,0.7822660098522167,0.8888888888888888
142.0,0.0001,1e-05,0.8029556650246306,0.8888888888888888
585.0,0.0006,0.00018,0.7822660098522167,0.8611111111111112
812.0,0.0001,0.02399,0.8312807881773399,0.8888888888888888
1000.0,0.0001,1e-05,0.8312807881773399,0.9166666666666666
512.0,0.0004,0.06257,0.7751231527093596,0.8888888888888888
446.4,0.0001,1e-05,0.8243842364532019,0.8888888888888888
631.0,0.0001,1e-05,0.8312807881773399,0.8888888888888888
793.0,0.0001,1e-05,0.8312807881773399,0.9166666666666666
169.4,0.0001,0.00487,0.8029556650246306,0.8888888888888888
698.0,0.0001,0.02818,0.8312807881773399,0.8888888888888888
378.0,0.0001,1e-05,0.8312807881773399,0.8888888888888888
687.0,0.0001,0.0435,0.8312807881773399,0.8888888888888888
342.9,0.0001,0.01133,0.8312807881773399,0.8888888888888888
283.0,0.0001,1e-05,0.8312807881773399,0.8888888888888888
358.0,0.0001,0.00031,0.8312807881773399,0.8888888888888888
628.0,0.0001,0.00432,0.8312807881773399,0.8888888888888888
188.0,0.0001,1e-05,0.8169950738916256,0.8888888888888888
349.0,0.0001,0.00673,0.8312807881773399,0.8888888888888888
232.0,0.0001,1e-05,0.8241379310344827,0.8888888888888888
464.0,0.0001,0.02001,0.831527093596059,0.8888888888888888
261.0,0.0001,0.0045,0.8241379310344827,0.8888888888888888
107.0,0.0001,0.04454,0.8100985221674877,0.8611111111111112
605.0,0.0002,0.00817,0.8172413793103448,0.9166666666666666
521.0,0.0001,0.021,0.838423645320197,0.8888888888888888
