n_estimators,learning_rate,score,generalization_score
63,1.6646722614124752,0.31669812233836625,0.4361111111111111
87,1.722894536960943,0.6372677119628338,0.6805555555555556
66,0.008354270566129,0.638175087108014,0.6083333333333333
37,0.000192116597574,0.20876403406891214,0.15555555555555556
35,0.024452630570839,0.6701727642276423,0.6444444444444445
97,0.0626,0.6819662214479287,0.7083333333333334
47,0.2658,0.6562766163375919,0.5916666666666667
97,0.0833,0.6569057297715835,0.6888888888888889
100,0.1175,0.6834107626790553,0.6944444444444444
80,0.13,0.6722657762291908,0.725
90,0.6245,0.6590350367789393,0.5527777777777778
69,0.7321,0.581107239643825,0.46944444444444444
68,0.7275,0.5957002516453735,0.4722222222222222
85,0.7219,0.6082196089818042,0.5444444444444444
27,0.8302,0.4538303329461866,0.3111111111111111
91,0.0896,0.680589430894309,0.7027777777777777
98,0.0652,0.679875629113434,0.7138888888888889
63,0.9999,0.2894986449864499,0.24166666666666667
42,0.0083,0.6151761517615176,0.6
76,0.3896,0.6917876500193574,0.5944444444444444
67,0.4,0.6563129113433991,0.6222222222222222
66,0.5369,0.6611716027874565,0.6277777777777778
76,0.08,0.6701025938830817,0.7194444444444444
48,0.9989,0.2894986449864499,0.24166666666666667
94,0.1234,0.6548732094463803,0.7111111111111111
85,0.0695,0.664561556329849,0.6888888888888889
92,0.0437,0.6485409407665504,0.675
92,0.0892,0.6903479481223385,0.7166666666666667
76,0.3785,0.6256726674409602,0.6444444444444445
100,0.0511,0.6597028648857917,0.6916666666666667
