X0,X1,score,generalization_score
15,1.434297276884398,0.7741379310344827,0.9722222222222222
43,7.892689098336297,0.7261083743842365,0.8055555555555556
18,0.009631258205288,0.9295566502463055,0.9166666666666666
42,0.027113774781246002,0.9295566502463055,0.9444444444444444
99,1.100039842371944,0.9009852216748768,0.8611111111111112
99,1.0102875232696533,0.8871921182266009,0.8611111111111112
45,8.380486488342285,0.8027093596059112,0.7777777777777778
51,1.9487,0.9650246305418719,0.9722222222222222
33,2.8389,0.9440886699507389,0.9166666666666666
51,2.0928540229797363,0.9233990147783251,0.9166666666666666
51,1.6778483390808105,0.8470443349753694,0.9444444444444444
28,5.132812023162842,0.8652709359605911,0.8333333333333334
54,0.0001,0.6625615763546798,0.6388888888888888
27,0.0001,0.626847290640394,0.6388888888888888
36,0.0001,0.626847290640394,0.6388888888888888
31,0.0001,0.626847290640394,0.6388888888888888
10,0.0001,0.626847290640394,0.6388888888888888
51,1.9675,0.9231527093596059,1.0
33,0.0271,0.9152709359605913,0.9444444444444444
42,0.0002556437102612108,0.8662561576354678,0.7777777777777778
33,0.0001,0.626847290640394,0.6388888888888888
51,1.9586,0.8955665024630542,0.8888888888888888
55,0.0001,0.6625615763546798,0.6388888888888888
99,1.1101181507110596,0.9009852216748768,0.8611111111111112
26,0.0001,0.626847290640394,0.6388888888888888
17,0.0001,0.626847290640394,0.6388888888888888
100,0.0001,0.8662561576354678,0.7777777777777778
51,2.0362496376037598,0.9233990147783251,0.9444444444444444
18,9.999999747378752e-05,0.626847290640394,0.6388888888888888
52,1.9675,0.930049261083744,1.0
