n_estimators,learning_rate,score,generalization_score
15,1.434297276884398,0.7741379310344827,0.9722222222222222
43,7.892689098336297,0.7261083743842365,0.8055555555555556
18,0.009631258205288,0.9295566502463055,0.9166666666666666
42,0.027113774781246002,0.9295566502463055,0.9444444444444444
99,1.100039842371944,0.9009852216748768,0.8611111111111112
49,0.0001,0.6625615763546798,0.6388888888888888
100,0.005,0.9083743842364532,0.9444444444444444
57,0.5032,0.951231527093596,0.9166666666666666
86,0.7512,0.9650246305418719,0.9722222222222222
71,0.0001,0.8317733990147783,0.7777777777777778
100,0.0001,0.8662561576354678,0.7777777777777778
95,0.0002,0.8731527093596059,0.9166666666666666
88,0.5517,0.9226600985221676,0.9722222222222222
96,0.5556,0.9295566502463055,0.9722222222222222
62,0.9999,0.9009852216748768,0.8611111111111112
77,0.9084,0.9431034482758622,1.0
49,0.9999,0.9009852216748768,0.8611111111111112
84,0.3491,0.9438423645320198,0.9722222222222222
68,0.8326,0.958128078817734,1.0
90,0.0869,0.9150246305418719,0.9166666666666666
96,0.7521,0.9650246305418719,0.9444444444444444
87,0.98,0.9578817733990148,1.0
91,0.2367,0.929064039408867,0.9722222222222222
83,0.0002,0.8731527093596059,0.7777777777777778
80,0.8294,0.97192118226601,1.0
94,0.9766,0.9578817733990148,1.0
81,0.8288,0.9647783251231529,1.0
77,0.8293,0.9647783251231529,1.0
89,0.7563,0.9578817733990148,0.9444444444444444
70,0.6811,0.9438423645320198,0.9722222222222222
