feat_0,feat_1,score,generalization_score
91,0.0007302585582140001,0.9088669950738917,0.9166666666666666
87,0.110962953351353,0.9150246305418719,0.9722222222222222
64,0.000509707317029,0.8945812807881774,0.9166666666666666
30,0.31052829556572503,0.9507389162561577,0.9722222222222222
91,0.146155620802551,0.8935960591133005,0.9166666666666666
23,0.8362,0.9650246305418719,1.0
24,0.9999,0.9009852216748768,0.8611111111111112
15,1.2345,0.8871921182266009,0.9166666666666666
37,0.9727,0.9440886699507389,1.0
11,9.9999,0.7201970443349753,0.8333333333333334
40,0.0002,0.8662561576354678,0.7777777777777778
28,0.0006,0.8731527093596059,0.7777777777777778
29,0.9895,0.9293103448275861,1.0
27,0.8361,0.9509852216748769,0.9722222222222222
26,0.8363,0.9647783251231529,0.9722222222222222
25,0.8364,0.9578817733990148,1.0
24,0.8363,0.9504926108374386,1.0
23,0.8361,0.9366995073891626,1.0
22,0.8362,0.9578817733990148,1.0
23,0.8363,0.9435960591133006,1.0
21,0.8365,0.9366995073891626,1.0
22,0.8363,0.9435960591133006,1.0
26,0.8364,0.9578817733990148,0.9722222222222222
27,0.8363,0.9647783251231529,0.9722222222222222
28,0.8366,0.97192118226601,0.9722222222222222
26,0.8365,0.9578817733990148,0.9722222222222222
20,0.8366,0.9507389162561577,1.0
25,0.8366,0.9647783251231529,1.0
29,0.8364,0.958128078817734,0.9722222222222222
28,0.8365,0.9650246305418719,0.9722222222222222
