n_estimators,learning_rate,score,generalization_score
16,1.583963679227197,0.88128078817734,0.9444444444444444
21,0.07023549332126301,0.9576354679802955,0.8888888888888888
49,0.000124090931101,0.7177339901477832,0.6388888888888888
14,0.001735567408628,0.8731527093596059,0.9166666666666666
18,0.29793276259370205,0.9364532019704435,0.9722222222222222
87,0.0678,0.9012315270935961,0.9444444444444444
52,0.6812,0.9509852216748769,0.9722222222222222
100,0.0001,0.8662561576354678,0.7777777777777778
69,0.0213,0.9364532019704435,0.9444444444444444
83,0.003,0.9295566502463055,0.9166666666666666
71,0.0402,0.9364532019704435,0.9444444444444444
69,0.0783,0.9150246305418719,0.9166666666666666
20,0.0333,0.9221674876847292,0.9444444444444444
30,0.7614,0.9647783251231526,1.0
24,0.0432,0.9224137931034484,0.9444444444444444
74,0.1321,0.9293103448275863,0.9722222222222222
92,0.9895,0.9293103448275861,1.0
100,0.0002,0.8731527093596059,0.9166666666666666
26,0.9894,0.9362068965517242,0.9722222222222222
100,0.9895,0.9293103448275861,1.0
39,1.0,0.9078817733990148,0.8611111111111112
32,0.9893,0.9293103448275861,1.0
53,0.9895,0.9364532019704432,1.0
91,0.0001,0.8662561576354678,0.7777777777777778
100,0.01,0.9295566502463055,0.9444444444444444
67,0.9092,0.9433497536945813,0.9722222222222222
19,0.9895,0.929064039408867,1.0
10,0.9894,0.9293103448275861,1.0
11,0.1421,0.9504926108374384,0.9444444444444444
30,0.7631,0.9647783251231526,1.0
