n_estimators,learning_rate,score,generalization_score
15,1.434297276884398,0.7741379310344827,0.9722222222222222
43,7.892689098336297,0.7261083743842365,0.8055555555555556
18,0.009631258205288,0.9295566502463055,0.9166666666666666
42,0.027113774781246002,0.9295566502463055,0.9444444444444444
99,1.100039842371944,0.9009852216748768,0.8611111111111112
42,0.23070083558559418,0.9578817733990148,0.9722222222222222
99,1.2180746793746948,0.8871921182266009,0.9444444444444444
99,0.3873652219772339,0.9507389162561577,0.9722222222222222
99,0.4245690405368805,0.9650246305418719,1.0
99,0.5625593662261963,0.9507389162561577,0.9722222222222222
42,0.7113898992538452,0.9578817733990148,0.9444444444444444
42,0.4980035722255707,0.9435960591133006,1.0
42,0.7828487753868103,0.9364532019704435,0.9166666666666666
42,0.4653729796409607,0.9293103448275863,1.0
18,0.6147109270095825,0.958128078817734,1.0
18,0.7128344774246216,0.9364532019704435,1.0
100,0.43307238817214966,0.9509852216748769,1.0
19,0.35241588950157166,0.9293103448275863,1.0
18,0.3588328957557678,0.9435960591133006,0.9722222222222222
99,0.4535038471221924,0.9507389162561577,0.9444444444444444
42,0.5807566046714783,0.9298029556650247,0.9722222222222222
18,0.4920292794704437,0.9295566502463053,1.0
18,0.5780922770500183,0.9366995073891624,1.0
42,0.6513522267341614,0.9440886699507389,0.9722222222222222
99,0.3384479582309723,0.9224137931034482,0.9722222222222222
18,0.8037088513374329,0.9366995073891626,0.9166666666666666
100,0.4396422803401947,0.951231527093596,0.8888888888888888
18,0.5023590922355652,0.9295566502463053,1.0
42,0.6165040731430054,0.9224137931034482,0.9722222222222222
100,0.45604726672172546,0.9578817733990148,0.9444444444444444
