feat_0,feat_1,score,generalization_score
16,1.583963679227197,0.88128078817734,0.9444444444444444
21,0.07023549332126301,0.9576354679802955,0.8888888888888888
49,0.000124090931101,0.7177339901477832,0.6388888888888888
14,0.001735567408628,0.8731527093596059,0.9166666666666666
18,0.29793276259370205,0.9364532019704435,0.9722222222222222
11,0.1552,0.9362068965517242,0.9444444444444444
63,0.0158,0.9295566502463055,0.9444444444444444
76,0.0043,0.9295566502463055,0.9166666666666666
44,3.7996,0.7655172413793103,0.4722222222222222
34,0.4682,0.9293103448275863,1.0
23,0.0203,0.9083743842364532,0.9444444444444444
14,0.0781,0.9576354679802955,0.9444444444444444
20,0.0847,0.9504926108374384,0.9444444444444444
15,0.15,0.9435960591133006,0.9722222222222222
10,0.0739,0.9504926108374384,0.9444444444444444
18,0.9823,0.9650246305418719,1.0
15,0.9898,0.922167487684729,1.0
10,0.0002,0.626847290640394,0.6388888888888888
12,0.9988,0.9150246305418719,0.8611111111111112
50,0.9976,0.9012315270935961,0.8611111111111112
22,0.9985,0.9009852216748768,0.8333333333333334
19,0.9987,0.9009852216748768,0.8611111111111112
17,0.9981,0.9009852216748768,0.8611111111111112
30,0.9899,0.9293103448275861,1.0
19,0.9989,0.8940886699507388,0.8611111111111112
26,0.9839,0.9435960591133006,0.9722222222222222
18,0.9822,0.9650246305418719,1.0
30,0.9989,0.8940886699507388,0.8611111111111112
11,0.0813,0.9504926108374384,0.9444444444444444
27,0.9988,0.9009852216748768,0.8611111111111112
