feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
185,0.000108685594791,215,0.002729872765365,0.371717949499384,0.0026566298800650002,0.4714285714285714,0.4444444444444444
84,0.155067725021613,227,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.30935960591133005,0.4444444444444444
104,0.042149422583877,104,0.017692572850768,0.384147239692245,0.0062994922760190005,0.3445812807881773,0.16666666666666666
147,0.7351443178574231,15,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.33817733990147786,0.3333333333333333
116,2.47889002222658e-05,52,0.029075757573501,0.638161187869686,0.595741010417508,0.33842364532019703,0.3888888888888889
117,0.001,249,0.1,0.9,0.999,0.38743842364532016,0.4444444444444444
189,0.0001,184,0.0001,0.1001,0.999,0.5152709359605911,0.4444444444444444
54,0.0002,162,0.0003,0.8002,0.9983,0.3231527093596059,0.3333333333333333
141,0.0009,199,0.0004,0.1,0.999,0.34408866995073895,0.16666666666666666
159,0.0001,140,0.0001,0.1,0.999,0.47266009852216745,0.3888888888888889
176,0.0001,149,0.0001,0.8999,0.9989,0.3169950738916256,0.3888888888888889
191,0.0002,249,0.0002,0.9,0.999,0.3374384236453202,0.16666666666666666
98,0.0001,250,0.0001,0.9,0.999,0.29556650246305416,0.16666666666666666
135,0.0001,50,0.0001,0.8999,0.999,0.38743842364532016,0.4444444444444444
128,0.0001,104,0.0001,0.1,0.999,0.4445812807881774,0.6388888888888888
176,0.0001,184,0.0001,0.1,0.999,0.5711822660098522,0.8055555555555556
179,0.0001,164,0.0001,0.1,0.999,0.5768472906403941,0.16666666666666666
156,0.0001,179,0.0001,0.1,0.999,0.49926108374384237,0.75
196,0.0001,245,0.0001,0.1,0.999,0.5623152709359606,0.4444444444444444
182,0.0001,202,0.0001,0.1,0.999,0.5017241379310345,0.6666666666666666
200,0.0001,250,0.0001,0.9,0.999,0.29556650246305416,0.16666666666666666
183,0.0002,244,0.0002,0.8999,0.999,0.38743842364532016,0.4444444444444444
175,0.0001,249,0.0001,0.1,0.999,0.558128078817734,0.75
186,0.0001,173,0.0001,0.145,0.999,0.3652709359605911,0.16666666666666666
174,0.0001,241,0.0001,0.1,0.999,0.6128078817733991,0.7222222222222222
139,0.0002,234,0.0001,0.1,0.999,0.3667487684729064,0.2777777777777778
186,0.0001,174,0.0001,0.1,0.999,0.5573891625615764,0.16666666666666666
199,0.0001,250,0.0001,0.1,0.999,0.30935960591133005,0.4166666666666667
165,0.0001,249,0.0001,0.1,0.999,0.55,0.5833333333333334
178,0.0001,249,0.0001,0.8999,0.999,0.3169950738916256,0.3888888888888889
