hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
61,1.095706562156234,39,0.001893412804339,0.261254081864405,0.0011382453367170002,0.330295566502463,0.16666666666666666
56,0.00030713533483000004,32,0.006015816920825001,0.137631667310846,0.022872834873117,0.38743842364532016,0.4444444444444444
82,0.00132871069682,128,0.04499930257575,0.538002241604574,0.8327636100005461,0.38743842364532016,0.3888888888888889
110,0.02073154660543,84,0.002220648782651,0.182953386555359,0.02310073334057,0.605665024630542,0.4444444444444444
164,0.8043116425855961,72,0.037347404133724005,0.48478462306302506,0.001153013936524,0.3169950738916256,0.3888888888888889
148,0.1792,132,0.0304,0.5512,0.7974,0.38743842364532016,0.3888888888888889
124,0.1578,85,0.075,0.8623,0.7772,0.3374384236453202,0.4444444444444444
95,0.0734,183,0.0209,0.3785,0.5563,0.38743842364532016,0.4444444444444444
84,0.0234,97,0.0635,0.5679,0.7289,0.3445812807881773,0.4444444444444444
97,0.0076,249,0.0052,0.8198,0.0031,0.38743842364532016,0.4444444444444444
99,0.0002,113,0.0789,0.5102,0.9988,0.37364532019704433,0.4444444444444444
105,0.0098,90,0.0474,0.6676,0.5947,0.30935960591133005,0.16666666666666666
200,0.0001,10,0.1,0.1,0.999,0.3374384236453202,0.4444444444444444
153,0.1234,123,0.0533,0.8142,0.7755,0.35985221674876844,0.4444444444444444
144,0.5701,107,0.0583,0.7476,0.6781,0.35221674876847286,0.16666666666666666
150,0.0005,50,0.01,0.5,0.5,0.38743842364532016,0.4444444444444444
110,0.0207,84,0.0022,0.183,0.0231,0.6339901477832512,0.4444444444444444
178,0.0001,14,0.1,0.1,0.999,0.3517241379310344,0.4444444444444444
57,0.0006,119,0.0012,0.3034,0.0912,0.3955665024630542,0.5555555555555556
113,0.0012,119,0.0012,0.3034,0.0912,0.37364532019704433,0.75
103,0.0214,81,0.0021,0.1846,0.0232,0.6625615763546797,0.6944444444444444
170,0.0276,103,0.0042,0.2044,0.0304,0.5076354679802956,0.4444444444444444
178,0.0179,92,0.0034,0.1892,0.0278,0.38694581280788176,0.3333333333333333
143,0.0217,81,0.0021,0.1846,0.0232,0.38743842364532016,0.4444444444444444
179,0.0218,85,0.0022,0.183,0.0231,0.5492610837438423,0.5277777777777778
112,0.0244,86,0.0025,0.1875,0.0242,0.29556650246305416,0.16666666666666666
111,0.0206,84,0.0022,0.1831,0.0231,0.5497536945812808,0.6666666666666666
109,0.0214,81,0.0021,0.1846,0.0232,0.5408866995073891,0.8055555555555556
123,0.0214,81,0.0021,0.1846,0.0232,0.47955665024630534,0.7222222222222222
106,0.0214,81,0.0021,0.1846,0.0232,0.5438423645320196,0.6388888888888888
