X0,X1,X2,X3,X4,X5,score,generalization_score
58,0.972673331466651,97,0.082752285393054,0.12181788428012301,0.015489501067079001,0.38743842364532016,0.4444444444444444
103,0.008314343846587,248,0.017105143900736003,0.416621112737509,0.287119248478133,0.4150246305418719,0.4444444444444444
86,0.38568757833618,37,6.555698792765721e-05,0.129910978158211,0.42986071285403005,0.5571428571428572,0.6944444444444444
129,0.008970486390256,186,1.143728661105335e-05,0.12276963806369201,0.301511303677967,0.15467980295566502,0.25
175,2.26186199275213,240,0.0017593347551360002,0.122012805857397,0.9717039547524511,0.4098522167487685,0.4444444444444444
123,2.4517428874969482,166,0.0005471811164170504,0.4027537405490875,0.052222587168216705,0.31009852216748773,0.3888888888888889
132,4.720754623413086,56,0.03094775229692459,0.49010708928108215,0.990643322467804,0.3374384236453202,0.16666666666666666
76,0.6995,69,0.057,0.3529,0.7566,0.33078817733990146,0.3888888888888889
163,0.0001,10,0.1,0.9,0.999,0.33793103448275863,0.4444444444444444
66,0.4084,36,0.0002,0.1301,0.4301,0.6214285714285714,0.3888888888888889
71,0.4321,50,0.0584,0.5012,0.7059,0.29556650246305416,0.16666666666666666
80,0.3858,37,0.0002,0.1299,0.4299,0.3800492610837438,0.4444444444444444
103,8.672903060913086,43,0.02210269123315811,0.338769793510437,0.22367286682128906,0.38743842364532016,0.4444444444444444
111,0.3832,47,0.0015,0.1583,0.5393,0.5275862068965517,0.7222222222222222
107,0.4852,91,0.0577,0.4534,0.5622,0.3169950738916256,0.3888888888888889
77,0.6351,55,0.05,0.5,0.75,0.3312807881773399,0.4444444444444444
108,0.5643,69,0.0501,0.5001,0.7501,0.37290640394088664,0.4444444444444444
84,0.4384,39,0.0002,0.1341,0.4321,0.4645320197044335,0.6666666666666666
87,0.4058,36,0.0002,0.1301,0.4301,0.4152709359605911,0.3888888888888889
64,0.4467,36,0.0002,0.1301,0.4301,0.6128078817733991,0.7222222222222222
76,0.4084,36,0.0002,0.1301,0.4301,0.5211822660098523,0.3611111111111111
138,5.204833984375,76,0.08291672170162201,0.33563050627708435,0.78725665807724,0.35221674876847286,0.4444444444444444
61,0.4084,36,0.0002,0.1301,0.4301,0.506896551724138,0.3333333333333333
66,0.4084112346172333,36,0.0001990501186810434,0.13008731603622437,0.4300854802131653,0.5785714285714285,0.3333333333333333
122,0.5328,117,0.0003,0.1754,0.5118,0.4512315270935961,0.5833333333333334
136,0.2641,101,0.0485,0.4686,0.6937,0.3169950738916256,0.16666666666666666
90,0.4057,38,0.0002,0.1301,0.4301,0.47142857142857136,0.5
70,0.4366,36,0.0002,0.1301,0.4301,0.5630541871921182,0.4444444444444444
74,0.514,36,0.0002,0.1301,0.4301,0.4310344827586207,0.7777777777777778
98,0.3624,36,0.0002,0.1301,0.4301,0.5987684729064039,0.6666666666666666
