hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
78,3.883695706453229,237,0.0008689532004960001,0.202241135091972,0.0029054467420260004,0.49827586206896557,0.75
155,5.244489926659613e-05,126,0.003395868952889,0.603652105657949,0.11188740474257401,0.37315270935960587,0.3888888888888889
125,0.033172779961338,183,0.000108141489166,0.33205822617954,0.016662743799897,0.3384236453201971,0.1388888888888889
77,6.573466211768384,81,0.000141734398014,0.12908524487849402,0.003508343843278,0.37241379310344824,0.4166666666666667
124,0.024807944140628,63,0.011748020174759,0.35554280982451203,0.003187109691163,0.3169950738916256,0.3888888888888889
101,1.2176523208618164,123,0.09652731567621231,0.6309521794319153,0.3806421160697937,0.35935960591133004,0.3888888888888889
53,1.590969443321228,38,0.055684372782707214,0.3130013942718506,0.9727218151092529,0.3169950738916256,0.16666666666666666
77,2.7719218730926514,241,0.08807610720396042,0.8578824996948242,0.4712485671043396,0.3312807881773399,0.4444444444444444
83,9.934758186340332,225,0.023512208834290504,0.8077554702758789,0.8642086386680603,0.30935960591133005,0.3888888888888889
73,2.304720163345337,237,0.0683559775352478,0.4940170347690582,0.009465848095715046,0.3455665024630542,0.4444444444444444
89,3.0236425399780273,32,0.007947009056806564,0.48920106887817383,0.20299428701400757,0.38743842364532016,0.4444444444444444
80,1.60189688205719,233,0.022064119577407837,0.8353491425514221,0.22486081719398499,0.3312807881773399,0.16666666666666666
58,2.289882183074951,246,0.007922336459159851,0.250438392162323,0.1529441773891449,0.37364532019704433,0.4444444444444444
161,7.617055416107178,50,0.029522700235247612,0.36779019236564636,0.8565836548805237,0.3098522167487685,0.16666666666666666
164,3.1345465183258057,53,0.0995863527059555,0.30075669288635254,0.32349199056625366,0.3167487684729064,0.3888888888888889
121,3.1080853939056396,236,0.010290340520441532,0.7625867128372192,0.7337035536766052,0.3884236453201971,0.3888888888888889
91,2.036883592605591,32,0.0549125112593174,0.8863391876220703,0.9125010371208191,0.37315270935960587,0.4444444444444444
100,6.985838890075684,99,0.010480942204594612,0.7214672565460205,0.7329102158546448,0.35985221674876844,0.4444444444444444
92,4.628134727478027,35,0.009455938823521137,0.3337599039077759,0.9843928813934326,0.37315270935960587,0.3888888888888889
103,8.41971206665039,96,0.016305088996887207,0.20975220203399658,0.8705300688743591,0.37364532019704433,0.4444444444444444
155,1.2319259643554688,125,0.007733616512268782,0.8761793971061707,0.27622202038764954,0.40172413793103445,0.4444444444444444
70,3.28452205657959,216,0.05971118062734604,0.8246940970420837,0.672782838344574,0.32364532019704434,0.16666666666666666
176,9.692441940307617,226,0.001907019061036408,0.5295045971870422,0.6062219738960266,0.44261083743842355,0.4444444444444444
129,7.17408561706543,63,0.03229420259594917,0.1784490942955017,0.22463999688625336,0.3455665024630542,0.3888888888888889
75,8.378836631774902,237,0.07241342961788177,0.6676858067512512,0.6823946237564087,0.3169950738916256,0.4444444444444444
56,0.5778048038482666,241,0.02398405782878399,0.7189183831214905,0.2516281008720398,0.35985221674876844,0.75
124,1.401307463645935,233,0.03889171779155731,0.42451897263526917,0.7141725420951843,0.36600985221674875,0.4444444444444444
93,4.971222877502441,139,0.04156884923577309,0.7769187688827515,0.6796735525131226,0.34507389162561575,0.4444444444444444
179,7.231573581695557,227,0.027067916467785835,0.3971179127693176,0.10956669598817825,0.32413793103448274,0.4444444444444444
98,3.2651634216308594,99,0.04015050455927849,0.6336151361465454,0.67195725440979,0.36600985221674875,0.4444444444444444
