feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
78,3.883695706453229,237,0.0008689532004960001,0.202241135091972,0.0029054467420260004,0.49827586206896557,0.75
155,5.244489926659613e-05,126,0.003395868952889,0.603652105657949,0.11188740474257401,0.37315270935960587,0.3888888888888889
125,0.033172779961338,183,0.000108141489166,0.33205822617954,0.016662743799897,0.3384236453201971,0.1388888888888889
77,6.573466211768384,81,0.000141734398014,0.12908524487849402,0.003508343843278,0.37241379310344824,0.4166666666666667
124,0.024807944140628,63,0.011748020174759,0.35554280982451203,0.003187109691163,0.3169950738916256,0.3888888888888889
155,0.0001,200,0.001,0.9,0.999,0.34507389162561575,0.4444444444444444
50,0.0001,250,0.1,0.9,0.001,0.31650246305418717,0.4444444444444444
132,7.8196,105,0.0643,0.6194,0.5282,0.33793103448275863,0.16666666666666666
139,0.0001,50,0.1,0.9,0.001,0.29556650246305416,0.16666666666666666
100,0.0001,160,0.0001,0.1001,0.9989,0.45172413793103444,0.4444444444444444
62,4.9996,167,0.085,0.3334,0.9913,0.3455665024630542,0.3888888888888889
50,0.0001,250,0.0001,0.1,0.999,0.5194581280788177,0.4444444444444444
191,0.0002,172,0.0002,0.1002,0.9989,0.3926108374384237,0.6388888888888888
50,0.0001,200,0.0001,0.1,0.999,0.5194581280788177,0.4444444444444444
200,9.9999,250,0.0001,0.1001,0.999,0.3169950738916256,0.7222222222222222
200,0.0001,250,0.0001,0.1,0.999,0.3169950738916256,0.4444444444444444
65,0.0001,220,0.0002,0.1002,0.9989,0.37315270935960587,0.6111111111111112
50,0.0002,200,0.0002,0.1002,0.999,0.40763546798029554,0.5555555555555556
136,0.0001,190,0.0001,0.1,0.999,0.32413793103448274,0.75
107,0.0001,240,0.0001,0.1,0.999,0.3312807881773399,0.75
118,0.0001,194,0.0001,0.1,0.999,0.626847290640394,0.3611111111111111
144,0.0001,186,0.0001,0.1,0.999,0.6408866995073892,0.4444444444444444
76,0.0001,248,0.0001,0.1,0.999,0.472167487684729,0.75
150,0.0001,150,0.0001,0.1,0.6754,0.37364532019704433,0.4444444444444444
144,0.0001,150,0.0001,0.6754,0.999,0.4352216748768473,0.4166666666666667
174,0.0001,67,0.0001,0.6754,0.999,0.29556650246305416,0.16666666666666666
120,0.0003,80,0.07,0.8,0.0067,0.3169950738916256,0.3888888888888889
146,0.0001,236,0.0001,0.1,0.999,0.5980295566502463,0.7222222222222222
119,0.0001,176,0.0001,0.6753,0.999,0.37364532019704433,0.4444444444444444
143,0.0001,226,0.0001,0.6754,0.999,0.47807881773399014,0.4444444444444444
