X0,X1,X2,X3,X4,X5,score,generalization_score
200,3.938620672443622,41,0.099120175266208,0.16799104738110301,0.015472833880662002,0.38743842364532016,0.4444444444444444
108,0.10434609979357301,235,0.024279719592336,0.199039332673625,0.037446959101,0.3598522167487685,0.5555555555555556
117,0.00023848621577000003,138,0.045273919917888004,0.27307645938327,0.019584322761279003,0.33078817733990146,0.16666666666666666
191,0.468096526017641,182,0.016256611075126,0.12261807012299801,0.035828819856501,0.35985221674876844,0.3888888888888889
180,0.9438031971786861,209,0.00012365164457100002,0.11390227044541101,0.10263435748586001,0.34384236453201966,0.75
200,3.9386,41,0.0991,0.2731,0.999,0.30270935960591133,0.4444444444444444
108,0.1043,235,0.0243,0.9,0.999,0.44408866995073887,0.4444444444444444
110,0.0001,250,0.1,0.9,0.999,0.37364532019704433,0.4444444444444444
56,9.3312349319458,116,0.05686993524432182,0.31346574425697327,0.9298439025878906,0.3455665024630542,0.3888888888888889
198,0.3283786177635193,216,0.09851714968681335,0.4007427990436554,0.2927403748035431,0.3445812807881773,0.4444444444444444
168,7.736,27,0.0533,0.2521,0.1934,0.38743842364532016,0.4444444444444444
121,0.0003,224,0.0857,0.6119,0.7298,0.3169950738916256,0.3888888888888889
50,4.0009,34,0.051,0.6946,0.135,0.3169950738916256,0.3888888888888889
139,9.901,123,0.02168,0.5801,0.02791,0.3169950738916256,0.16666666666666666
175,0.4322,115,0.0534,0.5395,0.5077,0.3027093596059113,0.16666666666666666
119,0.4325,235,0.06,0.4582,0.535,0.34507389162561575,0.4444444444444444
104,0.1075,250,0.1,0.9,0.999,0.3445812807881773,0.4444444444444444
105,0.1043,200,0.1,0.9,0.999,0.38743842364532016,0.4444444444444444
160,0.4578,135,0.0838,0.7991,0.6328,0.37315270935960587,0.16666666666666666
200,3.9386,41,0.0991,0.168,0.0155,0.38743842364532016,0.4444444444444444
200,0.3682,60,0.0123,0.6012,0.8632,0.39261083743842357,0.4444444444444444
200,0.0001,250,0.1,0.9,0.999,0.29556650246305416,0.7222222222222222
159,0.2579,57,0.0332,0.3885,0.7722,0.38743842364532016,0.4444444444444444
101,0.2623,209,0.06,0.5555,0.999,0.35935960591133004,0.3888888888888889
141,0.3523,67,0.0689,0.4589,0.6483,0.38743842364532016,0.4444444444444444
200,0.1043,235,0.0243,0.9,0.999,0.29556650246305416,0.4444444444444444
111,0.2045,208,0.05,0.5,0.5,0.33078817733990146,0.3888888888888889
158,0.1043,235,0.0243,0.9,0.999,0.39507389162561574,0.16666666666666666
120,0.0001,250,0.1,0.9,0.999,0.3312807881773399,0.4444444444444444
106,0.1043,235,0.0243,0.9,0.999,0.38743842364532016,0.4444444444444444
