n_estimators,learning_rate,score,generalization_score
63,1.6646722614124752,0.8889162561576356,0.9722222222222222
87,1.722894536960943,0.8541871921182267,0.9444444444444444
66,0.008354270566129,0.9152709359605913,0.9444444444444444
37,0.000192116597574,0.8317733990147783,0.7777777777777778
35,0.024452630570839,0.9152709359605913,0.9444444444444444
69,0.5289,0.9438423645320198,0.9722222222222222
68,0.9999,0.9009852216748768,0.8611111111111112
99,0.0001,0.8662561576354678,0.7777777777777778
93,0.2967,0.9224137931034482,0.9722222222222222
72,0.5,0.958128078817734,0.9166666666666666
79,0.965,0.9790640394088671,1.0
70,0.9942,0.9293103448275861,1.0
96,0.01,0.9295566502463055,0.9444444444444444
89,0.9998,0.8940886699507388,0.8611111111111112
99,0.001,0.9088669950738917,0.9166666666666666
77,0.7846,0.9650246305418719,0.9722222222222222
100,0.0001,0.8662561576354678,0.7777777777777778
86,0.0002,0.8731527093596059,0.7777777777777778
86,0.9999,0.9009852216748768,0.8611111111111112
40,0.77,0.9578817733990148,1.0
100,0.0007,0.9088669950738917,0.9166666666666666
82,0.1634,0.8795566502463054,0.8888888888888888
47,0.9996,0.9009852216748768,0.8611111111111112
50,0.6824,0.9509852216748769,0.9444444444444444
50,1.0,0.9078817733990148,0.8611111111111112
95,0.995,0.9152709359605911,1.0
82,0.0995,0.9150246305418719,0.9166666666666666
80,0.9938,0.922167487684729,1.0
62,0.7645,0.9509852216748769,1.0
98,0.1065,0.9009852216748768,0.9722222222222222
