X0,X1,score,generalization_score
16,1.583963679227197,0.29648906310491674,0.26666666666666666
21,0.07023549332126301,0.6548586914440573,0.6944444444444444
49,0.000124090931101,0.20876403406891214,0.15555555555555556
14,0.001735567408628,0.24354432830042586,0.15555555555555556
18,0.29793276259370205,0.6451316298877274,0.6388888888888888
29,0.6994,0.5622701316298877,0.49722222222222223
21,0.6995,0.5406746031746031,0.5166666666666667
25,0.6996,0.5455816879597367,0.5027777777777778
32,0.9899,0.300648470770422,0.24166666666666667
18,0.6993,0.553902922957801,0.525
27,0.6994,0.5566952187379017,0.5111111111111111
32,0.9898,0.300648470770422,0.24166666666666667
28,0.6994,0.5573848238482385,0.4777777777777778
20,0.6994,0.5371999612853272,0.5138888888888888
28,0.6995,0.5573848238482385,0.4777777777777778
29,0.6995,0.5622701316298877,0.49722222222222223
11,0.00020000000000000004,0.20876403406891214,0.15555555555555556
31,0.6994,0.5706349206349206,0.475
31,0.6995,0.5706349206349206,0.475
30,0.6995,0.5761977351916376,0.48055555555555557
22,0.6993,0.544850948509485,0.5388888888888889
36,0.6993,0.5671747967479674,0.49444444444444446
38,0.6996,0.5720383275261324,0.5111111111111111
33,0.6995,0.570617982965544,0.48333333333333334
34,0.6996,0.5699380565234223,0.48333333333333334
39,0.6997,0.5755250677506776,0.5277777777777778
41,0.6998,0.5859707704219901,0.525
40,0.6995,0.5796893147502904,0.5277777777777778
35,0.6999,0.5755081300813009,0.49444444444444446
42,0.6998,0.5922304490902052,0.5166666666666667
